QUERY_OUTPUT: ClassId: 227190151 | Name: 227190151IvoryGateRecallGem | DID_1: 0x02000C79
QUERY_OUTPUT: ClassId: 900101902 | Name: 900101902VeilgateGen | DID_1: 0x0200026B
QUERY_OUTPUT: ClassId: 31411 | Name: ace31411-nightmaregate | DID_1: 0x02000904
QUERY_OUTPUT: ClassId: 31892 | Name: ace31892-gatekeepers | DID_1: 0x020005D5
QUERY_OUTPUT: ClassId: 32125 | Name: ace32125-gatekeepers | DID_1: 0x020005D5
QUERY_OUTPUT: ClassId: 32351 | Name: ace32351-gate | DID_1: 0x02000281
QUERY_OUTPUT: ClassId: 33148 | Name: ace33148-outerlockedgate | DID_1: 0x02000281
QUERY_OUTPUT: ClassId: 33540 | Name: ace33540-lockedgate | DID_1: 0x020011C5
QUERY_OUTPUT: ClassId: 33541 | Name: ace33541-lockedgatekey | DID_1: 0x02000160
QUERY_OUTPUT: ClassId: 33884 | Name: ace33884-whitegatewaytoken | DID_1: 0x020003E0
QUERY_OUTPUT: ClassId: 33885 | Name: ace33885-blackgatewaytoken | DID_1: 0x020003E0
QUERY_OUTPUT: ClassId: 33886 | Name: ace33886-abyssalgatewaytoken | DID_1: 0x020003E0
QUERY_OUTPUT: ClassId: 33913 | Name: ace33913-whitetotemgateway | DID_1: 0x02000628
QUERY_OUTPUT: ClassId: 33914 | Name: ace33914-blacktotemgateway | DID_1: 0x02000627
QUERY_OUTPUT: ClassId: 33915 | Name: ace33915-abyssaltotemgateway | DID_1: 0x02000629
QUERY_OUTPUT: ClassId: 34438 | Name: ace34438-gatewaytothehallsofmetos | DID_1: 0x020005D3
QUERY_OUTPUT: ClassId: 35013 | Name: ace35013-gateguardian | DID_1: 0x02000FA4
QUERY_OUTPUT: ClassId: 35014 | Name: ace35014-1stlockedgatekey | DID_1: 0x02000160
QUERY_OUTPUT: ClassId: 35015 | Name: ace35015-gateguardian | DID_1: 0x02000FA4
QUERY_OUTPUT: ClassId: 35016 | Name: ace35016-2ndlockedgatekey | DID_1: 0x02000160
