Textures matching 0x05000C:
Texture ID: 0x05000C00 (83889152)
Texture ID: 0x05000C01 (83889153)
Texture ID: 0x05000C02 (83889154)
Texture ID: 0x05000C03 (83889155)
Texture ID: 0x05000C04 (83889156)
Texture ID: 0x05000C05 (83889157)
Texture ID: 0x05000C06 (83889158)
Texture ID: 0x05000C07 (83889159)
Texture ID: 0x05000C08 (83889160)
Texture ID: 0x05000C09 (83889161)
Texture ID: 0x05000C0A (83889162)
Texture ID: 0x05000C3A (83889210)
Texture ID: 0x05000C42 (83889218)
Texture ID: 0x05000C45 (83889221)
Texture ID: 0x05000C48 (83889224)
Texture ID: 0x05000C51 (83889233)
Texture ID: 0x05000C52 (83889234)
Texture ID: 0x05000C53 (83889235)
Texture ID: 0x05000C54 (83889236)
Texture ID: 0x05000C55 (83889237)
Texture ID: 0x05000C58 (83889240)
Texture ID: 0x05000C87 (83889287)
Texture ID: 0x05000C88 (83889288)
Texture ID: 0x05000C89 (83889289)
Texture ID: 0x05000C92 (83889298)
Texture ID: 0x05000C93 (83889299)
Texture ID: 0x05000C96 (83889302)
Texture ID: 0x05000CA3 (83889315)
Texture ID: 0x05000CBE (83889342)
Texture ID: 0x05000CBF (83889343)
Texture ID: 0x05000CC0 (83889344)
Texture ID: 0x05000CCA (83889354)
Texture ID: 0x05000CCC (83889356)
Texture ID: 0x05000CCD (83889357)
Texture ID: 0x05000CEA (83889386)
Texture ID: 0x05000C56 (83889238)
